Mã Sản phẩm,Sản phẩm,Nhóm sản phẩm, Nhãn , Giá vốn ,Phân loại sản phầm
P-545,Máy tính để bàn Dell Inspiron 3670MT 70157879(Core i5-8400/8GB/1TB/DVDRW/K+M/DOS),Máy tính, Phần cứng ,  7.770.000 ,Máy tính
P-546,Phần mềm diệt virus Bitdefender Internet Security 1u/1y,Phần mềm, Phần cứng ,  160.000 ,Phần mềm Bảo mật
P-547,Phần mềm Gsuite basic 6 Month,Phần mềm, Phần mềm server ,  210.000 ,Khác
P-548,Phần mềm PrjctPro 2016 SNGL OLP NL w1PrjctSvrCAL,Phần mềm, Phần mềm server ,  11.490.000 ,Phần mềm văn phòng
P-549,"Màn hình  Dell UltraSharp U2917W 29""",Phụ kiện,Phụ kiện,  4.720.000 ,Phụ kiện
P-550,Phần mềm Veeam Backup & Replication Standard,Phần mềm, Phần mềm văn phòng ,  10.500.000 ,Phần mềm server
P-551,Ổ cứng gắn trong Samsung SSD 860 EVO 250GB Model: MZ-76E250BW,Phụ kiện,Phụ kiện,  1.740.000 ,Phụ kiện
P-552,"Bộ lưu điện SRT công suất 6000VA, điện áp 230V_SRT6KXLI",Phụ kiện,Phụ kiện,  37.950.000 ,Phụ kiện
P-553,Bộ máy tính,Phụ kiện,Phụ kiện,  10.400.000 ,Phụ kiện
P-554,Bộ thu phát Linksys LAP AC1750 POE,Phụ kiện,Phụ kiện,  4.080.000 ,Phụ kiện
P-555,Phí sử dụng phần mềm Office 365 Business Essentials - 12 tháng,Phần mềm, Phần cứng ,  660.000 ,Phần mềm văn phòng
P-556,Phần mềm Adobe Audition CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New - 12 months,Phần mềm, Phần cứng ,  4.940.000 ,Phần mềm văn phòng
P-557,"Máy tính để bàn Dell Vostro 3470 - Intel Core  i3-8100 (3.60 GHz, 6MB), 8GB  DDR4, 1TB HDD 7200rpm, Intel UHD Graphics 630, DVD-RW, Wifi + bluetooth, chuột, Phím, Ubuntu",Máy tính, Phần cứng ,  5.920.000 ,Máy tính
P-558,Phần mềm WebStorm Commercial annual subscription (1 Year),Phần mềm, Phần cứng ,  2.000.000 ,Khác
P-559,Cổng nối mạng Dinstar DAG2000-16S,Phụ kiện,Phụ kiện,  7.510.000 ,Phụ kiện
P-560,Thiết bị chia mạng TP- link SG1024D,Phụ kiện,Phụ kiện,  980.000 ,Phụ kiện
P-561,Cạc kết nối máy chủ với thiết bị lưu trữ Lenovo Emulex 8Gb FC Single - port HBA for Lenovo System X - 42D0485,Phụ kiện,Phụ kiện,  5.640.000 ,Phụ kiện
P-562,Bộ nhớ trong DDR3 Kingstons 4GB bus 1600,Phụ kiện,Phụ kiện,  490.000 ,Phụ kiện
P-563,Bộ nhớ trong Kingston 8G D4-2400U17 1Rx8 nonECC 288P,Phụ kiện,Phụ kiện,  1.430.000 ,Phụ kiện
P-564,Phần mềm G Suite Basic 1 Month,Phần mềm, Phần cứng ,  30.000 ,Khác
P-565,"Phần mềm Kaspersky Endpoint Security For Business-Select
(PL )",Phần mềm, Phần cứng ,  610.000 ,Phần mềm Bảo mật
P-566,Phần mềm Basic support/subscription VMware vSphere 6 standard for 1 processor 1year,Phần mềm, Phần cứng ,  4.890.000 ,Phần mềm server
P-567,Phần mềm Oracle Database Standard Edition 2 - Processor Perpetual,Phần mềm, Phần cứng ,  185.180.000 ,Phần mềm server
P-568,Hỗ trợ kỹ thuật phần mềm Oracle Database Standard Edition 2 - Named User Plus Perpetual (1 năm),Phần mềm, Phần cứng ,  40.740.000 ,Phần mềm server
P-569,Phần mềm Winrar (WINRAR),Phần mềm, Phần cứng ,  340.000 ,Khác
P-570,Phí sử dụng phần mềm Office 365 Business Essentials - 9 months,Phần mềm, Phần cứng ,  330.000 ,Phần mềm văn phòng
P-571,Phần mềm Autodesk AutoCADLT 2016 RL2 DVD WOS (057H1-R26340-3491),Phần mềm, Phần mềm văn phòng ,  13.500.000 ,Khác
P-572,Máy chiếu Sony VPL-EX295(công suất trên 300inch),Phụ kiện,Phụ kiện,  16.210.000 ,Phụ kiện
P-573,Phần mềm Win HmBasic 7 SP1 x64 English SEA 1pk DSP OEI (F2C-01535),Phần mềm, Khác ,  1.070.000 ,Khác
P-574,Phần mềm Winrar Archiver 25-49 Users-Anunual Maintenance,Phần mềm, Phần mềm văn phòng ,  180.000 ,Khác
P-575,Phần mềm Veeam Backup Essentials Standard 2 socket bundle for VMware,Phần mềm, Phần mềm văn phòng ,  18.100.000 ,Phần mềm văn phòng
P-576,"Phần mềm 24/7 maintenance uplift, Veeam Backup Essentials Standard 2 socket bundle for VMware – ONE year",Phần mềm, Phần mềm văn phòng ,  1.000.000 ,Phần mềm văn phòng
P-577,phần mềm Autodesk AutoCAD LT 2017 Commercial New Single-user ELD 2-Year Subscription with Advanced Support PROMO,Phần mềm, Phần cứng ,  6.230.000 ,Phần mềm văn phòng
P-578,Phần mềm Autodesk AutoCAD LT 2017 Commercial New Single-user ELD 3-Year Subscription with Advanced Support ELD (057I1-WW3033-T744),Phần mềm, Phần mềm server ,  7.950.000 ,Phần mềm văn phòng
P-579,Phần mềm Eset NOD32 Antivirus 1Y1U,Phần mềm, Phần mềm server ,  80.000 ,Phần mềm Bảo mật
P-580,"Máy tính xách tay HP Probook 440 G3 (X4K48PA) Intel Core i5-6200U(2.3GHz up to 2.8GHz, 3MB)/ Ram 4GB DDRL4 (2 khe ram)/ 256GB SSD HDD/Intel HD Graphics/ 14 inch Full HD/FingerPrint/ VGA/HDMI card reader/4 cell/ Lan+WC+WL+BT/Free Dos/ 1Y Wty",Máy tính, Phần cứng ,  8.070.000 ,Máy tính
P-581,phần mềm Basic Support/Subscription for VMware Horizon 7 Standard Add-On: 10 Pack (CCU) for 1 year (Thời hạn: 5 years),Phần mềm, Phần cứng ,  23.070.000 ,Phần mềm server
P-582,phần mềm Autodesk AutoCAD 2018 Commercial New Multi-user ELD Annual Subscription,Phần mềm, Phần cứng ,  24.720.000 ,Khác
P-583,Bảng mạch chính ASUS H110M-D,Phụ kiện,Phụ kiện,  980.000 ,Phụ kiện
P-584,Bộ vi xử lý Intel Pentium G4400-3.30Ghz + Quạt,Phụ kiện,Phụ kiện,  770.000 ,Phụ kiện
P-585,Bộ nhớ trong Kingston 4GD4-2133C15,Phụ kiện,Phụ kiện,  480.000 ,Phụ kiện
P-586,Nguồn Acbel HK 350w,Phụ kiện,Phụ kiện,  270.000 ,Phụ kiện
P-587,Màn Hình SamSung S20D300NHMXV,Phụ kiện,Phụ kiện,  1.200.000 ,Phụ kiện
P-588,Vỏ Case ATX ORIENT 3008,Phụ kiện,Phụ kiện,  150.000 ,Phụ kiện
P-589,phần mềm IBM MAIL DUAL ENTITLEMENT PLUS APPLICATIONS AUTHORIZED USER PER MONTH,Phần mềm, Phần cứng ,  900.000 ,Khác
P-590,Phần mềm ReSharper Ultimate Switch from ReSharper perpetual valid 1 Year,Phần mềm, Phần cứng ,  5.200.000 ,Phần cứng
P-591,Bộ nhớ trong GSkill F4-2133C15D-8GVR (4GB),Phụ kiện,Phụ kiện,  480.000 ,Phụ kiện
P-592,Phần mềm WinSvrCAL 2016 SNGL OLP NL DvcCAL,Phần mềm, Phần cứng ,  360.000 ,Khác
P-593,"Hộp máy tính Intel NUC KIT BOXNUC7I3BNH UCFF (Bao gồm: Mạch chính có tích hợp chip xử lý Intel Core I3-7100U 2.4GHz, vỏ)",Phụ kiện,Phụ kiện,  3.920.000 ,Phụ kiện
P-594,Bộ nhớ trong Kingston 4GB DDR4 2133 C15 SODIMM 1.2V (KVR21S15S8/4),Phụ kiện,Phụ kiện,  360.000 ,Phụ kiện
P-595,Ổ cứng Hitachi-HGST 2.5' 500GB - 7mm - 1W10013,Phụ kiện,Phụ kiện,  640.000 ,Phụ kiện
P-596,Cáp chuyển đổi HDMI to VGA,Phụ kiện,Phụ kiện,  160.000 ,Phụ kiện
P-597,Phần mềm Kaspersky Anti - Virus for File Server (Base),Phần mềm, Phần cứng ,  710.000 ,Phần mềm Bảo mật
P-598,Bộ nhớ RAM của máy tính hiệu ADATA DDR3U-DIMM 1600512X84GB11-SINGLE TRAY (AD3U1600W4D11-S),Phụ kiện,Phụ kiện,  450.000 ,Phụ kiện
P-599,Điện thoại kéo dài Panasonic KX-TGC212-Bạc,Phụ kiện,Phụ kiện,  780.000 ,Phụ kiện
P-600,PHẦN MỀM DÙNG CHO MÁY VI TÍNH AVG FILE SERVER EDITION 3C 3Y,Phần mềm, Phần cứng ,  2.030.000 ,Phần mềm Bảo mật
P-601,Bộ lưu điện (UPS) santak 1000 VA,Phụ kiện,Phụ kiện,  1.660.000 ,Phụ kiện
P-602,Máy tính Dell Vostro 3669 Desktop Core i5-7400/4GB Ram/1TB HDD/DVDRW/Wireless-Bluetooth/Mouse/keyboard/,Máy tính, Phần cứng ,  6.090.000 ,Máy tính
P-603,Màn hình Dell LED P1917S-19',Phụ kiện,Phụ kiện,  2.560.000 ,Phụ kiện
P-604,Máy in Canon LBP6230dn,Phụ kiện,Phụ kiện,  1.900.000 ,Phụ kiện
P-605,Ổ cứng lắp trong Western Digital RED 2TB3.5 - WD20EFRX,Phụ kiện,Phụ kiện,  1.360.000 ,Phụ kiện
P-606,Phần mềm diệt virus Trendmicro Worry Free Security Standard New 1 Year,Phần mềm, Phần cứng ,  210.000 ,Phần mềm Bảo mật
P-607,Phần mềm SQLCAL 2017 SNGL OLP NL UsrCAL,Phần mềm, Phần cứng ,  2.670.000 ,Phần mềm server
P-608,Phần mềm quản lý dự án Primavera P6 Professional Project Management (Application User; Perpetual),Phần mềm, Phần cứng ,  6.890.000 ,Phần mềm văn phòng
P-609,"Dây HDMI đồng 100%, 19+1 dài 1.5M Ugreen (10128)",Phụ kiện,Phụ kiện,  220.000 ,Phụ kiện
P-610,Phần mềm Nagios XI Maintenance (100 Node),Phụ kiện,Phụ kiện,  28.120.000 ,Phụ kiện
P-611,Phần mềm Adobe Premiere Pro CC for teams ALL  Multiple Platforms Multi Asian Languages Team Licensing Subscription New 36 months,Phần mềm, Phần cứng ,  5.320.000 ,Phần mềm văn phòng
P-612,Phần mềm After Effects CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New - 12 months,Phần mềm, Phần cứng ,  4.940.000 ,Phần mềm văn phòng
P-613,"Thiết bị thu phát vô tuyến Vigor AP910C, hiệu Draytek",Phụ kiện,Phụ kiện,  1.850.000 ,Phụ kiện
P-614,Phần mềm CD-ROM STAHLSCHLÜSSEL – Key to steel 2.4 edition 2016 (Standalone),Phần mềm, Phần mềm Bảo mật ,  9.960.000 ,Khác
P-615,Điện thoại Xiaomi Redmi Note5 32G DGW,Phụ kiện,Phụ kiện,  2.730.000 ,Phụ kiện
P-616,Phần mềm WinSvrCAL 2012 SNGL OLP NL DvcCAL R18-04277 (R18-04277),Phần mềm, Phần cứng ,  370.000 ,Khác
P-617,Phần mềm bản quyền Microsoft SQLCAL 2014 SNGL OLP NL UsrCAL(359-06098),Phần mềm, Phần cứng ,  2.740.000 ,Phần mềm server
P-618,Phần mềm Autodesk T-Splines Plug-in for Rhino 4 Commercial New SLM,Phần mềm, Phần mềm server ,  10.670.000 ,Khác
P-619,Phần mềm AddOn Channel11,Phần mềm, Phần cứng ,  13.760.000 ,Khác
P-620,Phần Mềm VSPro 2015 SNGL OLP NL,Phần mềm, Phần mềm văn phòng ,  6.920.000 ,Khác
P-621,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER BNDL STD LIC GOV BAND A ESSENTIAL 36 MONTHS_0E7IOZF0-EI3GA (0E7IOZF0-EI3GA),Phần mềm, Khác ,  460.000 ,Phần mềm Bảo mật
P-622,Phần mềm WinSvrCAL 2012 SNGL OLP NL Acdmc DvcCAL,Phần mềm, Khác ,  340.000 ,Khác
P-623,Phần mềm Autodesk AutoCAD Civil 3D 2018 Commercial New Single-user ELD Annual Subscription SPZD,Phần mềm, Phần mềm văn phòng ,  16.580.000 ,Khác
P-624,phần mềm Autodesk 3ds Max 2018 Commercial New Single-user Additional Seat Quarterly Subscription SPZD,Phần mềm, Phần mềm văn phòng ,  4.130.000 ,Khác
P-625,phần mềm Autodesk Maya 2017 Commercial New Single-user Additional Seat Quarterly Subscription SPZD,Phần mềm, Phần cứng ,  3.840.000 ,Khác
P-626,Bộ nhớ Ram của máy vi tính hiệu GEIL 4GB DDR4 19200 2400MHz SC (GP44GB2400C16SC),Phụ kiện,Phụ kiện,  430.000 ,Phụ kiện
P-627,"Ổ cứng gắn trong WD Digital 500gb3.5""",Phụ kiện,Phụ kiện,  660.000 ,Phụ kiện
P-628,Vỏ máy tính Segotep AP911,Phụ kiện,Phụ kiện,  170.000 ,Phụ kiện
P-629,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER RENEWAL ESSENTIAL 12 MONTHS EXPRESS BAND C,Phần mềm, Phần cứng ,  170.000 ,Phần mềm Bảo mật
P-630,Phần mềm ứng dụng Office 365 Business- 12 months,Phần mềm, Khác ,  1.270.000 ,Phần mềm văn phòng
P-631,phần mềm Creative Cloud for teams All Apps ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal 12 months,Phần mềm, Phần cứng ,  3.720.000 ,Phần mềm văn phòng
P-632,phần mềm Photoshop CC for team ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New 12 months,Phần mềm, Khác ,  4.860.000 ,Phần mềm văn phòng
P-633,Bộ chuyển đổi HDMI sang VGA Ugreen (40212),Phụ kiện,Phụ kiện,  250.000 ,Phụ kiện
P-634,Phần mềm OpenKM Cloud,Phần mềm, Phần mềm server ,  2.870.000 ,Phần mềm server
P-635,Phần mềm Sophos 1 Year Endpoint Protection Standard,Phần mềm, Phần cứng ,  620.000 ,Phần mềm Bảo mật
P-636,Phần mềm OneDriveforBsnssPlan1Open ShrdSvr SNGL SubsVL OLP NL Annual Qlfd,Phần mềm, Phần cứng ,  890.000 ,Phần mềm văn phòng
P-637,Chuột máy tính Fuhlen L102,Phụ kiện,Phụ kiện,  70.000 ,Phụ kiện
P-638,Phần mềm Maya Commercial Single-user Quarterly Subscription Renewal,Phần mềm, Phần mềm văn phòng ,  3.750.000 ,Khác
P-639,Phần mềm 3ds Max Commercial Single-user Quarterly Subscription Renewal,Phần mềm, Phần mềm văn phòng ,  3.750.000 ,Khác
P-640,Phần mềm Teamstudio CIAO! Client,Phần mềm, Phần cứng ,  22.250.000 ,Phần mềm văn phòng
P-641,"Phần mềm Endpoint Encryption, Renewal Software Maintenance, 1-24 Devices 1 YR",Phần mềm, Phần cứng ,  930.000 ,Phần mềm Bảo mật
P-642,Phí sử dụng phần mềm Exchange Online Kiosk -12 months,Phần mềm, Phần mềm server ,  280.000 ,Phần mềm văn phòng
P-643,phần mềm ESET Endpoint protection Advanced 1 year,Phần mềm, Phần cứng ,  390.000 ,Phần mềm Bảo mật
P-644,"MÁY TÍNH Lenovo V520S-08IKL DESKTOP G4560 4GB Lenovo V520 sff/ INTEL PENTIUM g4560 3.5G 2G; MEMORY/4GB DDR4 2400 UDIMM/ 500GB 7200 rpm 3.5"" SATA3  HDD/USB mouse/ DOS/ 1Y-",Máy tính, Phần cứng ,  8.400.000 ,Máy tính
P-645,"Phần mềm Brava! Desktop. LIMITED CAD + image, All features (1 year maintenance)",Phần mềm, Phần cứng ,  3.750.000 ,Phần mềm Bảo mật
P-646,Chuột quang Logitech M105 Black USB (LOGITECH-M105),Phụ kiện,Phụ kiện,  100.000 ,Phụ kiện
P-647,Phần mềm Prjct 2013 SNGL OLP NL (076-05334),Phần mềm, Phần cứng ,  6.370.000 ,Phần mềm văn phòng
P-648,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER BNDL STD LIC EXPRESS BAND B ESSENTIAL 36 MONTHS,Phần mềm, Khác ,  660.000 ,Phần mềm Bảo mật
P-649,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER BNDL STD LIC EXPRESS BAND C ESSENTIAL 12 MONTHS (0E7IOZF0-EI1EC),Phần mềm, Khác ,  290.000 ,Phần mềm Bảo mật
P-650,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER RENEWAL ESSENTIAL 12 MONTHS EXPRESS BAND C,Phần mềm, Khác ,  170.000 ,Phần mềm Bảo mật
P-651,Phần mềm Kaspersky Endpoint Security for Business - Select (3 Year),Phần mềm, Phần mềm văn phòng ,  580.000 ,Phần mềm văn phòng
P-652,Phần mềm Norton Antivirus 2012(NAV2012),Phần mềm, Phần mềm văn phòng ,  80.000 ,Phần mềm Bảo mật
P-653,Phần mềm IP-Guard v3 Additional 10 agents with 11 modules,Phần mềm, Khác ,  2.070.000 ,Phần mềm server
P-654,Chuột Logitech M100R,Phụ kiện,Phụ kiện,  80.000 ,Phụ kiện
P-655,Phần mềm Winrar 50-99 u,Phần mềm, Phần mềm văn phòng ,  130.000 ,Khác
P-656,Phần mềm IP-Guard v3 10 agents with 11 modules,Phần mềm, Phần cứng ,  2.210.000 ,Phần mềm server
P-657,Phần mềm Từ điển Việt Nhật mtdJVN,Phần mềm, Phần cứng ,  460.000 ,Khác
P-658,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER BNDL STD LIC ACAD BAND A ESSENTIAL 12 MONTHS,Phần mềm, Phần cứng ,  140.000 ,Phần mềm Bảo mật
P-659,"Máy tính chủ HP DL 380 G9 CTO 2xE5-2660V3(2.6GHz/10Core/25Mb, 256Gb Ram(16x16Gb)2x300Gb HDD, DVDRW, SAP440ar/2Gb, 560FLR Adptr, Nic 331i, 2x82EFC,SB, Rail Kit, 2x800W PS, DP On-line Bk for WindowsE-LTU, Rack 2U, 3Y WTY_719064-B21",Máy tính, Phần cứng ,  199.630.000 ,Máy tính
P-661,Phần mềm IP-Guard v3 Maintenance Renewal,Phần mềm, Phần cứng ,  220.000 ,Phần mềm server
P-662,"Bộ chuyển mạch HP Switch 1410-24G, HP WTY_91960089_J9561A",Phụ kiện,Phụ kiện,  2.480.000 ,Phụ kiện
P-663,Phần mềm Veeam Backup & Replication Standard for VMware,Phần mềm, Khác ,  17.260.000 ,Phần mềm server
P-664,"Phần mềm 24/7 maintenance uplift, Veeam Backup & Replication Standard for VMware – ONE year",Phần mềm, Phần cứng ,  960.000 ,Phần mềm server
P-665,Phần mềm Win Pro 10 SNGL Upgrd OLP NL FQC-09525,Phần mềm, Phần mềm văn phòng ,  2.330.000 ,Khác
P-666,Phần mềm WinSvrSTDCore 2016 SNGL OLP 2Lic NL CoreLic,Phần mềm, Phần mềm server ,  1.380.000 ,Phần mềm server
P-667,Phần mềm Solid Converter v9,Phần mềm, Khác ,  1.190.000 ,Khác
P-668,Phần mềm Microsoft WinRmtDsktpSrvcsCAL 2016 SNGL OLP NL UsrCAL,Phần mềm, Phần mềm server ,  1.450.000 ,Khác
P-669,Phần mềm IP-Guard agents with 11 modules,Phần mềm, Phần mềm văn phòng ,  2.210.000 ,Phần mềm server
P-670,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER BNDL STD LIC EXPRESS BAND B ESSENTIAL 12 MONTHS,Phần mềm, Khác ,  350.000 ,Phần mềm Bảo mật
P-671, Phần mềm MtdEVA-Từ điển Lạc Việt (vĩnh viễn)+ chuyên ngành tài chính ngân hàng,Phần mềm, Phần mềm văn phòng ,  390.000 ,Khác
P-672,Phần mềm PhpStorm - Commercial annual subcription,Phần mềm, Phần mềm văn phòng ,  2.800.000 ,Phần cứng
P-673,"phần mềm Protection Engine for Cloud Services, License, ACD-GOV 50-99 Users",Phần mềm, Phần cứng ,  160.000 ,Phần mềm server
P-674,"phần mềm Protection Engine for Cloud Services, Initial Software Maintenance,ACD-GOV 50-99 Users 1 YR",Phần mềm, Phần mềm văn phòng ,  120.000 ,Phần mềm server
P-675,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER RENEWAL ESSENTIAL 12 MONTHS EXPRESS BAND E,Phần mềm, Phần cứng ,  130.000 ,Phần mềm Bảo mật
P-676,Phần mềm ESET Endpoint Protection Standard 1 year,Phần mềm, Phần cứng ,  270.000 ,Phần mềm Bảo mật
P-677,Phần mềm Kaspersky Endpoint Security For Business-Select(Base),Phần mềm, Phần mềm server ,  370.000 ,Phần mềm văn phòng
P-678,MtdEVA-Từ điển Lạc Việt Anh Việt - Việt Anh:10-100 users,Phụ kiện,Phụ kiện,  190.000 ,Phụ kiện
P-679,phần mềm SYMC ENDPOINT PROTECTION 14 PER USER BNDL STD LIC EXPRESS BAND A ESSENTIAL 60 MONTHS,Phần mềm, Phần mềm Bảo mật ,  1.710.000 ,Phần mềm Bảo mật
P-680,Phần mềm Photoshop CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal- 12 months,Phần mềm, Phần mềm văn phòng ,  3.280.000 ,Phần mềm văn phòng
P-681,"Phần mềm máy tính / IBM Mail Dual Entitlement plus Applications Authorized User per Month (Authorized User) IBM
D1HY5LL
D1HY6LL (Free)",Phần mềm, Phần mềm văn phòng ,  1.100.000 ,Phần cứng
P-682,Phần mềm SfBOnlnP2Open ShrdSvr SNGL SubsVL OLP NL Annual Qlfd,Phần mềm, Phần cứng ,  890.000 ,Phần mềm server
P-683,Phần mềm SYMC PROTECTION SUITE ENTERPRISE EDITION 5.0 PER USER RENEWAL ESSENTIAL 12 MONTHS EXPRESS BAND F,Phần mềm, Phần cứng ,  240.000 ,Khác
P-684,phần mềm IP- Guard v3 Maitenance renewal agent with 11 modules,Phần mềm, Phần cứng ,  250.000 ,Khác
P-685,Phần mềm Illustrator CC ALL Multiple Platforms Multi Asian Languages Licensing Subscription 12 months,Phần mềm, Phần mềm Bảo mật ,  3.900.000 ,Phần mềm văn phòng
P-686,Phần mềm Kaspersky Endpoint Security for Business – Select,Phần mềm, Khác ,  440.000 ,Phần mềm văn phòng
P-687,Phần mềm Foxit PhantomPDF Business 8,Phần mềm, Khác ,  2.210.000 ,Phần mềm văn phòng
P-688,Phần mềm ứng dụng Office 365 Business- 3 months,Phần mềm, Phần mềm văn phòng ,  300.000 ,Phần mềm văn phòng
P-689,Phần mềm Illustrator CC for teams ALL  Multiple Platforms Multi Asian Languages Team Licensing Subscription New 12 months,Phần mềm, Phần mềm server ,  3.950.000 ,Phần mềm văn phòng
P-690,Phần mềm Photoshop CC for teams ALL  Multiple Platforms Multi Asian Languages Team Licensing Subscription New 12 months,Phần mềm, Phần mềm văn phòng ,  4.610.000 ,Phần mềm văn phòng
P-691,Phần mềm Acrobat Pro DC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New 12 months,Phần mềm, Phần cứng ,  2.300.000 ,Phần mềm văn phòng
P-692,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER RENEWAL ESSENTIAL 12 MONTHS EXPRESS BAND B,Phần mềm, Phần mềm Bảo mật ,  260.000 ,Phần mềm Bảo mật
P-693,Phần mềm NXPowerLite Desktop 7 – 1 user,Phần mềm, Phần mềm văn phòng ,  1.010.000 ,Phần mềm server
P-694,Dịch vụ gia hạn duy trì phần mềm Trend Micro Enterprise Security for Endpoints - Standard - 01 năm,Phần mềm, Khác ,  360.000 ,Phần mềm Bảo mật
P-695,Gia hạn phần mềm Mcafee (MFE EP Threat Protection 1Yr BZ [P+]),Phần mềm, Phần mềm văn phòng ,  200.000 ,Phần mềm Bảo mật
P-696,Phần mềm Autodesk AutoCAD Mechanical 2018 Commercial New Multi-user ELD Annual Subscription SPZD,Phần mềm, Khác ,  20.070.000 ,Khác
P-697,"Phần mềm Trend Micro Worry Free Business Security Standard, NEW",Phần mềm, Khác ,  400.000 ,Phần mềm văn phòng
P-698,Phần mềm SQLSvrStdCore SNGL LicSAPk OLP 2Lic NL CoreLic Qlfd,Phần mềm, Khác ,  66.300.000 ,Phần mềm server
P-699,Phần mềm Microsoft WinSvrDCCore 2016 SNGL OLP 2Lic NL CoreLic Qlfd,Phần mềm, Phần mềm Bảo mật ,  9.630.000 ,Khác
P-700,Phần mềm SQLCAL 2017 SNGL OLP NL DvcCAL,Phần mềm, Khác ,  2.400.000 ,Phần mềm server
P-701,Chuột vi tính Fuhlen X102S,Phụ kiện,Phụ kiện,  120.000 ,Phụ kiện
P-702,Phần mềm MFE Complete EP Bus P:3BZ[P+]CompUPGD,Phần mềm, Phần mềm văn phòng ,  830.000 ,Phần mềm Bảo mật
P-703,Phần mềm Veeam Agent licensed by Workstation 1 Year Subscription Upfront Billing License & Production (24/7) Support,Phần mềm, Khác ,  680.000 ,Phần mềm server
P-704,"Phần mềm Endpoint Protection, Renewal Software Maintenance, 25-49 Devices 1 YR",Phần mềm, Phần cứng ,  320.000 ,Phần mềm Bảo mật
P-705,phần mềm Annual Basic Maintenance Renewal Expired - Veeam Backup & Replication Enterprise for VMware,Phần mềm, Phần cứng ,  6.200.000 ,Phần mềm server
P-706,phần mềm Annual Basic Maintenance Renewal  - Veeam Backup & Replication Enterprise for VMware,Phần mềm, Phần cứng ,  4.960.000 ,Phần mềm server
P-707,Phần mềm 1 Additional year ò Production ( 24/7) maintenance prepaaid for Veeam Backup & Replication Enterprise,Phần mềm, Phần cứng ,  7.260.000 ,Phần mềm server
P-708,"Phần mềm 24/7 maintenance uplift, Veeam Backup & Replication Standard for VMware – ONE month",Phần mềm, Phần cứng ,  100.000 ,Phần mềm server
P-709,Phần mềm Kaspersky Endpoint Security for Business - Select (Public Sector) - NEW 3 Years - KES-SELECT,Phần mềm, Phần cứng ,  590.000 ,Phần mềm văn phòng
P-710,Camera quan sát VP3402,Phụ kiện,Phụ kiện,  1.690.000 ,Phụ kiện
P-711,Phần mềm WIN HOME 10 WIN32 ENG INTL 1pk DSP OEI DVD KW9-00185,Phần mềm, Phần cứng ,  1.360.000 ,Khác
P-712,MFE Complete EP Protect Bus P:1 BZ [P+],Phụ kiện,Phụ kiện,  730.000 ,Phụ kiện
P-713,Phí sử dụng phần mềm Exchange Online (Plan 1) - 7 months,Phần mềm, Phần cứng ,  160.000 ,Phần mềm văn phòng
P-714,Phần mềm sao lưu Acronis: Acronis Backup 12.5 Advanced Server License (A1WYLPZZS),Phần mềm, Phần cứng ,  17.520.000 ,Phần mềm server
P-715,Phần mềm sao lưu Acronis : Acronis Backup 12.5 Advanced Virtual Host License (V2HNLPZZS),Phần mềm, Phần cứng ,  19.710.000 ,Phần mềm server
P-716,Phần mềm Trend Micro Enterprise Security for Endpoints - Standard - 01 năm – ADD-ON,Phần mềm, Phần cứng ,  560.000 ,Phần mềm Bảo mật
P-717,Phần mềm MFE EP Threat Protection P:1 BZ [P+],Phần mềm, Phần cứng ,  220.000 ,Phần mềm Bảo mật
P-718,"Phần mềm Endpoint Protection, Initial",Phần mềm, Khác ,  780.000 ,Phần mềm Bảo mật
P-719,Phần mềm ESET Endpoint Protection Standard 3 year,Phần mềm, Khác ,  390.000 ,Phần mềm Bảo mật
P-720,"Phần mềm Dropbox Business Standard - new subscription, 1 year",Phần mềm, Phần mềm Bảo mật ,  2.810.000 ,Phần mềm văn phòng
P-721,"Endpoint Protection, Renewal Software Maintenance, 250-499 Devices 1 YR",Phụ kiện,Phụ kiện,  210.000 ,Phụ kiện
P-722,Phần mềm Illustrator CC ALL Multiple Platforms Multi Asian Languages Licensing Subscription Renewal 12 months - 65270548BA02A12,Phần mềm, Phần mềm server ,  5.180.000 ,Phần mềm văn phòng
P-723,Phần mềm SharePointStdCAL 2016 SNGL OLP NL UsrCAL,Phần mềm, Phần mềm server ,  1.570.000 ,Phần mềm văn phòng
P-724,Phí sử dụng phần mềm Office 365 Business essential -6 months,Phần mềm, Phần mềm Bảo mật ,  450.000 ,Phần mềm văn phòng
